RK,Name,First Name,Last name,REC,YDS,AVG,LNG,TD
228,Corey Dyches,Corey,Dyches,49,491,10,44,2
229,Ketron Jackson,Ketron,Jackson,28,489,17.5,55,1
230,Brett Buckman,Brett,Buckman,46,488,10.6,40,2
231,Damon Ward,Damon,Ward,39,487,12.5,59,5
232,Chris Tyree,Chris,Tyree,26,484,18.6,76,3
232,Easton Messer,Easton,Messer,42,484,11.5,35,4
234,Jeremiah Hixon,Jeremiah,Hixon,39,482,12.4,59,5
234,Umari Hatcher,Umari,Hatcher,32,482,15.1,48,3
236,Louis Brown,Louis,Brown,47,481,10.2,46,5
237,Blake Watson,Blake,Watson,53,480,9.1,63,3
237,Bryson Green,Bryson,Green,32,480,15,54,2
237,Wyatt Wieland,Wyatt,Wieland,44,480,10.9,40,5
237,Hudson Clement,Hudson,Clement,22,480,21.8,70,4
241,Tanner Knue,Tanner,Knue,50,479,9.6,39,3
242,Ladd McConkey,Ladd,McConkey,30,478,15.9,54,2
243,Jacob Bernard,Jacob,Bernard,39,476,12.2,43,1
244,Nate McCollum,Nate,McCollum,44,469,10.7,48,1
245,Peter LeBlanc,Peter,LeBlanc,30,468,15.6,87,4
245,Christian Dremel,Christian,Dremel,36,468,13,69,3
247,Treon Sibley,Treon,Sibley,23,467,20.3,68,4
248,Roderic Burns,Roderic,Burns,41,466,11.4,42,4
248,Jaylen Johnson,Jaylen,Johnson,45,466,10.4,39,2
250,Anthony Torres,Anthony,Torres,26,464,17.8,39,3
251,Ta'ron Keith,Ta'ron,Keith,44,457,10.4,58,3
252,Jairus Mack,Jairus,Mack,25,453,18.1,51,2
253,Traeshon Holden,Traeshon,Holden,37,452,12.2,63,6
254,Mason Fairchild,Mason,Fairchild,27,451,16.7,59,3
254,Darrell Harding,Darrell,Harding,23,451,19.6,52,3
254,Kelby Williams,Kelby,Williams,26,451,17.3,78,2
257,Justin Olson,Justin,Olson,43,450,10.5,42,1
258,Caden Prieskorn,Caden,Prieskorn,30,449,15,37,4
259,Mookie Cooper,Mookie,Cooper,36,447,12.4,41,0
260,Isiah Paige,Isiah,Paige,43,445,10.3,42,2
260,Tiaquelin Mims,Tiaquelin,Mims,39,445,11.4,37,2
262,Kole Taylor,Kole,Taylor,35,444,12.7,43,4
262,Tyson Davis,Tyson,Davis,29,444,15.3,67,4
264,Phoenix Sproles,Phoenix,Sproles,52,442,8.5,32,5
264,Gary Bryant,Gary,Bryant,30,442,14.7,71,4
264,Zae Baines,Zae,Baines,36,442,12.3,60,1
267,Moochie Dixon,Moochie,Dixon,25,441,17.6,52,4
268,Jha'Quan Jackson,Jha'Quan,Jackson,26,439,16.9,48,4
268,London Humphreys,London,Humphreys,22,439,20,56,4
270,Jack Velling,Jack,Velling,29,438,15.1,41,8
270,Jesse Prewitt,Jesse,Prewitt,31,438,14.1,70,4
272,Amare Thomas,Amare,Thomas,53,437,8.2,49,3
272,Jayce Brown,Jayce,Brown,27,437,16.2,46,3
274,Khafre Brown,Khafre,Brown,27,435,16.1,84,5
275,Jack Westover,Jack,Westover,46,433,9.4,28,4
276,Romello Brinson,Romello,Brinson,28,431,15.4,74,2
276,Jerand Bradley,Jerand,Bradley,36,431,12,34,4
278,Malik Phillips,Malik,Phillips,35,430,12.3,41,1
279,Andrel Anthony,Andrel,Anthony,27,429,15.9,55,1
280,Devonte Ross,Devonte,Ross,40,428,10.7,38,3
281,Jordan Hudson,Jordan,Hudson,30,425,14.2,67,7
282,Jameson Tucker,Jameson,Tucker,20,423,21.1,51,3
282,Dean Patterson,Dean,Patterson,28,423,15.1,40,1
284,Tyler Warren,Tyler,Warren,34,422,12.4,75,7
